# ファイル名	札の名前	題材の記述（題材はひとつだけ）	キーワード
sakura	桜	満開の桜の一枝	si
ame	雨	斜めに降りしきる雨脚	tk
shika	鹿	横を向いて立つ一頭の牡鹿	ik
momiji	紅葉	色づいた楓の一枝	si
kumo	雲	ゆったりとたなびく一筋の白い雲	tk
haru	春	ほころびかけた梅の一枝	ki
natsu	夏	水辺に咲く一輪の白い蓮	ki
aki	秋	金色に実った稲穂	ki
yuu	夕	山の端に沈みかける朱色の夕陽	ay
akatsuki	明け方	白々と明ける空に薄く残る有明の月	ay
yoi	宵	暮れの空に大きく輝く一番星	ay
yoru	夜	灯芯のともる古い行灯	ay
tsuki	月	夜空にかかる金色の満月	si
yuki	雪	降りしきる雪と、積もった雪	tk
tsuyu	露	草の葉先に結んだ露の玉	tk
kiri	霧	山あいに低くたちこめる、輪郭のはっきりした霧	tk
shimo	霜	白く霜をまとった枯れ枝	tk
arashi	嵐	吹き荒れる風にしなる一本の木	tk
kaze	風	風になびく薄の穂	tk
yama	山	険しい稜線を見せる山	si
ta	田	水をたたえた田と、まっすぐに通る畦道	si
ha	葉	太い葉脈の見える大きな一枚の葉	si
kusa	草	笹の茂み	si
kiku	菊	大輪の白菊	si
tori	鳥	飛び立つ一羽の小鳥	ik
hototogisu	ほととぎす	空を横切って飛ぶほととぎす	ik
mushi	虫	草の上のこおろぎ一匹	ik
kokoro	心	ゆらめく一条の炎。思いの象徴	kn
kanashimi	悲しみ	涙に濡れて、しぼられた衣の袖	kn
wakare	別れ	上から見た、二手に分かれる道と道しるべの石	kn
wasure	忘れ	流れ去る水の渦	kn
ousaka	逢坂の関	山あいに立つ古い関所の門	cm
fuji	富士	雪をいただく富士の山	cm
yoshino	吉野	山一面に咲く桜	cm
hashidate	天の橋立	海に細長くのびる松の生えた砂州	cm
